latitude,longitude,time,KBDI_SFC
-39.7599983215332,147.87904357910156,2017-08-17,14.800000190734863
-39.7599983215332,147.9088592529297,2017-08-17,14.800000190734863
-39.7599983215332,147.9386749267578,2017-08-17,14.90000057220459
-39.7599983215332,147.96847534179688,2017-08-17,14.90000057220459
-39.73999786376953,147.87904357910156,2017-08-17,14.800000190734863
-39.73999786376953,147.9088592529297,2017-08-17,14.800000190734863
-39.73999786376953,147.9386749267578,2017-08-17,14.90000057220459
-39.73999786376953,147.96847534179688,2017-08-17,14.90000057220459
-39.71999740600586,147.9386749267578,2017-08-17,15.100000381469727
-39.71999740600586,147.96847534179688,2017-08-17,15.100000381469727
-39.65999984741211,143.94378662109375,2017-08-17,4.400000095367432
-39.65999984741211,143.9735870361328,2017-08-17,4.599999904632568
-39.65999984741211,144.00340270996094,2017-08-17,4.5
-39.65999984741211,144.03321838378906,2017-08-17,4.5
-39.65999984741211,144.0630340576172,2017-08-17,4.599999904632568
-39.65999984741211,144.0928497314453,2017-08-17,4.700000286102295
-39.63999938964844,143.94378662109375,2017-08-17,4.200000286102295
-39.63999938964844,143.9735870361328,2017-08-17,4.300000190734863
-39.63999938964844,144.00340270996094,2017-08-17,4.400000095367432
-39.63999938964844,144.03321838378906,2017-08-17,4.300000190734863
-39.63999938964844,144.0630340576172,2017-08-17,4.599999904632568
-39.63999938964844,144.0928497314453,2017-08-17,4.700000286102295
-39.619998931884766,143.91397094726562,2017-08-17,4.0
-39.619998931884766,143.94378662109375,2017-08-17,4.0
-39.619998931884766,143.9735870361328,2017-08-17,4.099999904632568
-39.619998931884766,144.00340270996094,2017-08-17,4.200000286102295
-39.619998931884766,144.03321838378906,2017-08-17,4.300000190734863
-39.619998931884766,144.0630340576172,2017-08-17,4.300000190734863
-39.599998474121094,143.91397094726562,2017-08-17,3.799999952316284
-39.599998474121094,143.94378662109375,2017-08-17,3.799999952316284
-39.599998474121094,143.9735870361328,2017-08-17,4.099999904632568
-39.599998474121094,144.00340270996094,2017-08-17,4.200000286102295
-39.57999801635742,143.94378662109375,2017-08-17,3.799999952316284
-39.57999801635742,143.9735870361328,2017-08-17,3.799999952316284
-39.13999938964844,146.3585968017578,2017-08-17,0.0
-39.13999938964844,146.38841247558594,2017-08-17,0.0
-39.13999938964844,146.41822814941406,2017-08-17,0.0
-39.119998931884766,146.32879638671875,2017-08-17,0.0
-39.119998931884766,146.3585968017578,2017-08-17,0.0
-39.119998931884766,146.38841247558594,2017-08-17,0.0
-39.119998931884766,146.41822814941406,2017-08-17,0.0
-39.099998474121094,146.32879638671875,2017-08-17,0.0
-39.099998474121094,146.3585968017578,2017-08-17,0.0
-39.099998474121094,146.38841247558594,2017-08-17,0.0
-39.099998474121094,146.41822814941406,2017-08-17,0.0
-39.099998474121094,146.4480438232422,2017-08-17,0.0
-39.07999801635742,146.32879638671875,2017-08-17,0.0
-39.07999801635742,146.3585968017578,2017-08-17,0.0
-39.07999801635742,146.38841247558594,2017-08-17,0.0
-39.07999801635742,146.41822814941406,2017-08-17,0.10000000149011612
-39.07999801635742,146.4480438232422,2017-08-17,0.10000000149011612
-39.05999755859375,146.32879638671875,2017-08-17,0.10000000149011612
-39.05999755859375,146.3585968017578,2017-08-17,0.0
-39.05999755859375,146.38841247558594,2017-08-17,0.0
-39.05999755859375,146.41822814941406,2017-08-17,0.6000000238418579
-39.05999755859375,146.4480438232422,2017-08-17,2.0
-39.05999755859375,146.47784423828125,2017-08-17,2.5
